action
"[0.0, -0.038514360785484314]"
"[0.0, -0.09012115746736526]"
"[0.0, -0.20798364281654358]"
"[0.0, -0.3821222484111786]"
"[0.0, -0.6474196314811707]"
"[0.10577715188264847, -0.7505416870117188]"
"[0.12396618723869324, -0.8374889492988586]"
"[0.13022248446941376, -0.9121066927909851]"
"[0.1343119591474533, -1.0]"
"[0.1427960991859436, -1.0]"
"[0.14474928379058838, -1.0]"
"[0.14572587609291077, -1.0]"
"[0.14770959317684174, -1.0]"
"[0.15228736400604248, -1.0]"
"[0.1579638123512268, -1.0]"
"[0.16104617714881897, -1.0]"
"[0.16251106560230255, -1.0]"
"[0.16772973537445068, -1.0]"
"[0.17313151061534882, -1.0]"
"[0.17889949679374695, -1.0]"
"[0.191503643989563, -1.0]"
"[0.2071596384048462, -1.0]"
"[0.21829889714717865, -1.0]"
"[0.2227545976638794, -1.0]"
"[0.20520645380020142, -0.9668874144554138]"
"[0.0, -0.2792748808860779]"
"[0.0, 0.012512588873505592]"
"[0.0, 0.05090487375855446]"
"[0.0, 0.3581041991710663]"
"[0.0, 0.7225257158279419]"
"[-0.2143314927816391, 1.000030517578125]"
"[-0.22034363448619843, 1.000030517578125]"
"[-0.1351969987154007, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.0, 1.000030517578125]"
"[0.10168767720460892, 1.000030517578125]"
"[0.1264992207288742, 1.000030517578125]"
"[0.1832026094198227, 0.9103366136550903]"
"[0.21662038564682007, 0.43296608328819275]"
"[0.2211676388978958, 0.26645711064338684]"
"[0.21143223345279694, 0.11954100430011749]"
"[0.15729239583015442, 0.021973326802253723]"
"[0.0, -0.021057771518826485]"
"[0.0, -0.04690694808959961]"
"[0.0, -0.059144873172044754]"
"[0.0, -0.06256294250488281]"
"[0.0, -0.06408887356519699]"
"[0.0, -0.04364147037267685]"
"[0.0, -0.04095584154129028]"
"[0.0, -0.038392286747694016]"
"[0.0, -0.03793450817465782]"
"[0.0, -0.03793450817465782]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.0, -0.035431988537311554]"
"[0.1347697377204895, -0.035431988537311554]"
